,year,month,nightly_price,occupancy_rate
2096999,2018,1,100.0,0.0
2096999,2018,2,99.0,0.0
2096999,2018,3,102.0,0.6451612903225806
2096999,2018,4,98.0,0.7
2096999,2018,5,97.0,0.967741935483871
2096999,2018,6,104.0,0.3
2096999,2018,7,97.0,0.0
2096999,2018,8,98.0,1.0
2096999,2018,9,98.0,1.0
2096999,2018,10,97.0,1.0
2096999,2018,11,104.0,0.3666666666666666
2096999,2018,12,102.0,0.0
2096999,2019,1,97.0,0.1612903225806451
2096999,2019,2,110.0,0.1071428571428571
2096999,2019,3,95.0,0.6129032258064516
2096999,2019,4,93.0,0.8666666666666667
2096999,2019,5,92.0,0.7741935483870968
2096999,2019,6,93.0,1.0
2096999,2019,7,92.0,0.935483870967742
2096999,2019,8,94.0,1.0
2096999,2019,9,91.0,1.0
2096999,2019,10,91.0,1.0
2096999,2019,11,99.0,0.9333333333333332
2096999,2019,12,125.0,0.064516129032258
2096999,2020,1,101.0,0.3225806451612903
2096999,2020,2,97.0,1.0
2096999,2020,3,96.0,0.2258064516129032
2096999,2020,4,95.0,0.9
2096999,2020,5,95.0,0.8709677419354839
2096999,2020,9,96.0,0.97
2096999,2020,10,100.0,0.35
2096999,2020,11,96.0,1.0
2096999,2020,12,96.0,0.97
2096999,2020,6,96.0,1.0
2096999,2020,7,96.0,0.45
2096999,2020,8,97.0,0.0
2096999,2021,1,0.0,0.0
2096999,2021,2,96.0,1.0
2096999,2021,3,96.0,0.81
2096999,2021,4,97.0,1.0
2096999,2021,5,97.0,1.0
2298612,2018,1,90.0,0.1935483870967742
2298612,2018,2,90.0,0.1428571428571428
2298612,2018,3,102.0,0.8709677419354839
2298612,2018,4,122.0,0.4333333333333333
2298612,2018,5,116.0,0.8387096774193549
2298612,2018,6,98.0,0.9
2298612,2018,7,89.0,0.6451612903225806
2298612,2018,8,86.0,0.8709677419354839
2298612,2018,9,106.0,0.7
2298612,2018,10,95.0,0.7741935483870968
2298612,2018,11,90.0,0.7
2298612,2018,12,90.0,0.4838709677419355
2298612,2019,1,90.0,0.7096774193548387
2298612,2019,2,93.0,0.3214285714285714
2298612,2019,3,92.0,0.8709677419354839
2298612,2019,4,91.0,0.9
2298612,2019,5,91.0,0.8387096774193549
2298612,2019,6,94.0,0.8
2298612,2019,7,92.0,0.8709677419354839
2298612,2019,8,91.0,0.7096774193548387
2298612,2019,9,92.0,0.4666666666666667
2298612,2019,10,90.0,0.2580645161290322
2298612,2019,11,90.0,0.3666666666666666
2298612,2019,12,103.0,0.032258064516129
2298612,2020,1,92.0,0.6129032258064516
2298612,2020,2,93.0,0.5862068965517241
2298612,2020,3,90.0,0.4193548387096774
2298612,2020,4,90.0,0.0333333333333333
2298612,2020,5,90.0,0.0
2298612,2020,6,90.0,1.0
2298612,2020,7,90.0,0.03
2298612,2020,8,100.0,0.0
2298612,2020,9,97.0,0.43
2298612,2020,10,90.0,0.45
2298612,2020,11,92.0,0.2
2298612,2020,12,123.0,0.35
2298612,2021,1,0.0,0.0
2298612,2021,2,0.0,0.0
2298612,2021,3,0.0,0.0
2298612,2021,4,0.0,0.0
2298612,2021,5,110.0,0.84
4172233,2018,1,82.0,0.7419354838709677
4172233,2018,2,83.0,0.3214285714285714
4172233,2018,3,83.0,0.7741935483870968
4172233,2018,4,82.0,0.7333333333333333
4172233,2018,5,84.0,0.3870967741935484
4172233,2018,6,82.0,0.8333333333333334
4172233,2018,7,82.0,0.7419354838709677
4172233,2018,8,83.0,0.4193548387096774
4172233,2018,9,83.0,0.4
4172233,2018,10,82.0,0.4516129032258064
4172233,2018,11,80.0,0.7333333333333333
4172233,2018,12,83.0,0.4838709677419355
4172233,2019,1,81.0,0.032258064516129
4172233,2019,2,84.0,0.2857142857142857
4172233,2019,3,83.0,0.7419354838709677
4172233,2019,4,83.0,0.5
4172233,2019,5,83.0,0.5161290322580645
4172233,2019,6,82.0,1.0
4172233,2019,7,82.0,1.0
4172233,2019,8,82.0,0.2903225806451613
4172233,2019,9,82.0,0.8666666666666667
4172233,2019,10,83.0,0.5161290322580645
4172233,2019,11,83.0,0.5666666666666667
4172233,2019,12,83.0,0.3870967741935484
4172233,2020,1,82.0,1.0
4172233,2020,2,82.0,1.0
4172233,2020,3,82.0,0.6451612903225806
4172233,2020,4,81.0,0.1
4172233,2020,5,82.0,0.967741935483871
4172233,2020,9,82.0,1.0
4172233,2020,10,82.0,1.0
4172233,2020,11,82.0,1.0
4172233,2020,12,82.0,1.0
4172233,2020,6,82.0,0.97
4172233,2020,7,82.0,1.0
4172233,2020,8,82.0,1.0
4172233,2021,1,82.0,1.0
4172233,2021,2,82.0,1.0
4172233,2021,3,82.0,1.0
4172233,2021,4,82.0,1.0
4172233,2021,5,82.0,0.94
5956092,2018,1,94.0,0.5161290322580645
5956092,2018,2,94.0,0.3214285714285714
5956092,2018,3,92.0,0.8387096774193549
5956092,2018,4,94.0,0.4666666666666667
5956092,2018,5,93.0,0.8387096774193549
5956092,2018,6,92.0,0.8
5956092,2018,7,91.0,0.7419354838709677
5956092,2018,8,93.0,0.6129032258064516
5956092,2018,9,95.0,0.1
5956092,2018,10,92.0,0.8387096774193549
5956092,2018,11,92.0,0.8666666666666667
5956092,2018,12,94.0,0.4516129032258064
5956092,2019,1,92.0,0.4516129032258064
5956092,2019,2,92.0,0.8928571428571429
5956092,2019,3,92.0,0.8709677419354839
5956092,2019,4,92.0,0.7666666666666667
5956092,2019,5,92.0,0.8064516129032258
5956092,2019,6,92.0,0.9666666666666668
5956092,2019,7,100.0,0.7096774193548387
5956092,2019,8,101.0,0.6774193548387096
5956092,2019,9,103.0,0.5333333333333333
5956092,2019,10,100.0,0.7741935483870968
5956092,2019,11,103.0,0.5
5956092,2019,12,113.0,0.1935483870967742
5956092,2020,1,102.0,0.3548387096774194
5956092,2020,2,106.0,0.6206896551724138
5956092,2020,3,101.0,0.6129032258064516
5956092,2020,4,99.0,1.0
5956092,2020,5,100.0,1.0
5956092,2020,6,100.0,0.73
5956092,2020,7,104.0,0.39
5956092,2020,8,105.0,0.1
5956092,2020,9,100.0,0.37
5956092,2020,10,95.0,0.06
5956092,2020,11,99.0,0.9
5956092,2020,12,102.0,0.29
5956092,2021,1,103.0,0.68
5956092,2021,2,101.0,0.86
5956092,2021,3,100.0,0.84
5956092,2021,4,100.0,0.97
5956092,2021,5,99.0,1.0
7715777,2018,1,900.0,0.2258064516129032
7715777,2018,2,983.0,0.2142857142857142
7715777,2018,3,681.0,0.6774193548387096
7715777,2018,4,747.0,0.6
7715777,2018,5,753.0,0.4193548387096774
7715777,2018,6,700.0,0.7666666666666667
7715777,2018,7,731.0,0.5161290322580645
7715777,2018,8,711.0,0.6451612903225806
7715777,2018,9,1075.0,0.4
7715777,2018,10,902.0,0.3870967741935484
7715777,2018,11,716.0,0.6333333333333333
7715777,2018,12,811.0,0.5161290322580645
7715777,2019,1,728.0,0.2903225806451613
7715777,2019,2,632.0,0.4285714285714285
7715777,2019,3,597.0,0.5483870967741935
7715777,2019,4,575.0,0.9333333333333332
7715777,2019,5,661.0,0.8064516129032258
7715777,2019,6,722.0,0.6
7715777,2019,7,663.0,0.8064516129032258
7715777,2019,8,658.0,0.7419354838709677
7715777,2019,9,725.0,0.7
7715777,2019,10,726.0,0.8064516129032258
7715777,2019,11,619.0,0.9
7715777,2019,12,726.0,0.5483870967741935
7715777,2020,1,435.0,0.935483870967742
7715777,2020,2,596.0,0.7241379310344828
7715777,2020,3,441.0,0.8064516129032258
7715777,2020,4,342.0,0.6666666666666666
7715777,2020,5,518.0,0.967741935483871
7715777,2020,6,612.0,0.9
7715777,2020,7,622.0,0.94
7715777,2020,8,611.0,1.0
7715777,2020,9,680.0,0.83
7715777,2020,10,651.0,0.87
7715777,2020,11,657.0,0.93
7715777,2020,12,666.0,0.77
7715777,2021,1,679.0,0.74
7715777,2021,2,645.0,0.39
7715777,2021,3,609.0,0.94
7715777,2021,4,607.0,0.9
7715777,2021,5,728.0,0.71
8194959,2018,1,81.0,0.6129032258064516
8194959,2018,2,82.0,0.6071428571428571
8194959,2018,3,82.0,0.7419354838709677
8194959,2018,4,82.0,0.6333333333333333
8194959,2018,5,79.0,0.935483870967742
8194959,2018,6,82.0,0.5333333333333333
8194959,2018,7,85.0,0.8064516129032258
8194959,2018,8,76.0,0.967741935483871
8194959,2018,9,80.0,0.6
8194959,2018,10,78.0,0.7419354838709677
8194959,2018,11,83.0,0.8333333333333334
8194959,2018,12,82.0,0.2580645161290322
8194959,2019,1,82.0,0.3870967741935484
8194959,2019,2,83.0,0.4642857142857143
8194959,2019,3,81.0,0.7419354838709677
8194959,2019,4,77.0,0.6
8194959,2019,5,81.0,0.5806451612903226
